PrimaryID,CEI,OT,HRES,NED,NECM,NEI,MCNCP2,NEW,TCED,MCED,MCIND,TNCID,NCIO,CEO,NCP,MINCP,MCMNCP,MCNCP1,LPP,CNWP,CNCM,CND,CNFP,CNSP
2228888,0,0,0,0,0,0,0,2,0,0,0,0,0,12,0,0,0,0,3053,3,2,2,2,4
2228889,0,0,0,1,1,0,0,1,22,21,0,0,4,7,0,0,0,0,1122,1,2,2,13,2
2510464,0,0,0,2,2,0,0,0,30,18,0,0,0,12,0,0,0,0,7148,0,2,2,0,1
24005415,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1925,0,1,1,1,0
1135155,0,0,0,1,1,0,0,1,3,2,0,0,0,7,0,0,0,0,3053,1,2,2,0,4
2510466,0,0,0,1,1,0,0,0,7,6,0,0,0,7,0,0,0,0,0,0,1,1,7,4
2669732,0,0,0,1,1,0,0,0,2,1,0,0,0,2,0,0,0,0,35,0,1,1,0,1
2228892,0,0,0,1,1,0,0,0,3,2,0,0,0,3,0,0,0,0,5915,2,1,1,0,5
2510469,0,0,0,1,1,0,0,0,55,54,0,0,0,55,0,0,0,0,0,0,1,1,2,0
148574,0,0,0,1,1,0,0,1,54,53,0,0,0,54,0,0,0,0,7148,2,2,2,0,0
2669729,0,0,0,1,1,0,0,0,2,1,0,0,0,2,0,0,0,0,1925,0,2,2,1,1
2228882,0,0,0,1,1,0,0,1,2,1,0,0,0,2,0,0,0,0,5361,1,1,1,3,1
2510475,0,0,0,1,1,0,0,0,79,78,0,0,0,79,0,0,0,0,7148,0,1,1,0,2
2510479,0,0,0,1,1,0,0,0,4,3,0,0,0,4,0,0,0,0,0,0,1,1,0,0
25121,0,0,0,1,1,0,0,9,643,642,30,30,30,643,0,0,0,0,9797,113,9,6,0,138
2510583,0,0,0,1,1,0,0,0,30,29,0,0,0,30,0,0,0,0,0,1,1,1,17,0
2669779,0,0,0,1,1,0,0,0,21,20,0,0,0,21,0,0,0,0,0,0,1,1,9,1
2228969,0,0,0,1,1,0,0,1,10,9,0,0,0,10,0,0,0,0,3486,2,1,1,3,3
2510576,0,0,0,0,0,0,0,0,0,0,0,0,0,269,0,0,0,0,437,0,1,1,2,2
395314,0,1,0,1,1,0,0,2,426,425,4,4,0,0,0,0,0,0,362,2,1,1,1,2
2228968,0,0,0,1,1,0,0,1,25,24,0,0,0,25,0,0,0,0,0,1,1,1,0,0
2228967,0,0,0,1,1,0,0,0,10,9,0,0,0,10,0,0,0,0,0,0,1,1,14,0
2510590,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6715,0,1,1,0,0
4995968,0,0,0,0,0,0,0,0,0,0,0,0,5,3508,0,0,0,0,7148,0,1,1,0,1
2510587,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,1,1,0,1
2510585,0,0,0,1,1,0,0,0,12,11,2,2,2,12,0,0,0,0,5361,0,1,1,2,1
2669791,0,0,0,1,1,0,0,0,94,93,0,0,0,0,0,0,0,0,7148,0,2,2,1,1
2669761,0,0,0,1,1,0,0,0,25,24,6,6,4,32,0,0,0,0,7148,0,1,1,0,9
395302,0,0,0,1,1,0,0,4,90,89,0,0,0,90,0,0,0,0,3486,22,4,2,2,26
2510565,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
2510564,0,0,0,1,1,0,0,0,5,4,0,0,0,5,0,0,0,0,152,0,1,1,0,1
2669762,0,0,0,1,1,0,0,0,2,1,0,0,0,2,0,0,0,0,5361,0,1,1,23,1
2510563,0,0,0,1,1,0,0,0,132,131,1,1,1,132,0,0,0,0,495,1,1,1,3,2
2510562,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,1925,0,1,1,0,0
833052,0,0,0,0,0,0,0,1,0,0,0,0,3,22,0,0,0,0,0,4,1,1,2,0
2510560,0,0,0,1,1,0,0,0,24,23,0,0,0,24,0,0,0,0,6715,0,1,1,8,1
2669766,0,0,0,1,1,0,0,0,1,0,0,0,0,13,0,0,0,0,0,0,2,2,2,1
2510575,0,0,0,0,0,0,1,0,0,0,0,0,0,16,1,0,1,2,1122,0,1,1,4,1
2669769,0,0,0,1,1,0,0,0,12,11,1,1,1,12,0,0,0,0,0,0,1,1,3,0
1384006,0,0,0,1,1,0,0,0,20,19,0,0,0,20,0,0,0,0,7148,2,5,4,7,3
2510574,0,0,0,1,1,0,0,0,71,70,0,0,0,71,0,0,0,0,7148,0,1,1,0,1
2510573,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6715,0,1,1,0,5
7930157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,362,0,2,2,3,3
833046,0,0,0,0,0,0,6,1,0,0,0,0,1,37,64,1,6,117,1291,1,1,1,1,0
2228941,0,0,0,1,1,0,0,2,92,91,2,2,2,92,0,0,0,0,1329,6,1,1,2,14
833065,0,0,0,1,1,0,0,1,35,34,0,0,0,35,0,0,0,0,1291,1,1,1,0,1
2510549,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,1,4,2
2510544,0,0,0,1,1,0,0,0,18,17,0,0,0,18,0,0,0,0,0,0,1,1,7,0
2669812,0,0,0,2,2,0,13,0,39,37,0,0,0,38,43,19,14,552,7148,0,2,2,2,1
2510547,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,1,6,1
2510558,0,0,0,1,1,0,0,0,24,23,0,0,0,24,0,0,0,0,6715,0,1,1,0,1
2669816,0,0,0,1,1,0,0,0,3,2,0,0,0,0,0,0,0,0,9797,0,3,3,0,2
2228934,0,0,0,1,1,0,0,1,129,128,3,3,3,129,0,0,0,0,135,7,3,2,0,10
2510553,0,0,0,1,1,0,0,0,69,68,0,0,0,69,0,0,0,0,1291,0,3,3,2,1
2510554,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5915,0,1,1,13,2
2510555,0,0,0,1,1,0,0,0,9,8,0,0,0,9,0,0,0,0,7148,0,1,1,3,1
2228957,0,0,0,1,1,0,0,1,6,5,0,0,0,0,0,0,0,0,0,1,2,2,64,1
2510532,0,0,0,0,0,0,0,0,0,0,0,0,1,54,0,0,0,0,7148,0,1,1,4,0
2669794,0,0,0,1,1,0,0,0,1,0,0,0,0,6,0,0,0,0,7148,0,2,2,0,1
2228958,0,0,0,1,1,0,0,1,38,37,3,3,3,38,0,0,0,0,9797,4,1,1,0,5
273929,0,0,0,1,2,1,0,0,31,30,0,0,0,31,0,0,0,0,9797,0,2,2,0,7
588325,0,0,0,1,2,3,0,1,59,58,0,0,0,59,0,0,0,0,6715,2,4,2,0,1
2510528,0,0,0,1,1,0,0,0,24,23,0,0,0,24,0,0,0,0,6715,0,2,2,6,1
2510530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7148,0,1,1,1,1
2669796,0,0,0,1,1,0,0,0,6,5,0,0,4,2,0,0,0,0,5915,4,3,2,2,8
2510541,0,0,0,1,1,0,0,0,8,7,0,0,0,8,0,0,0,0,3486,0,1,1,1,0
2669803,0,0,0,1,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
2510540,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,7148,0,1,1,1,1
2228950,0,0,0,1,1,0,0,1,9,8,0,0,0,9,0,0,0,0,1586,1,2,2,1,2
2510543,0,0,0,1,1,0,0,0,31,30,0,0,4,233,0,0,0,0,9797,0,1,1,1,1
2510537,0,0,0,1,1,0,0,0,24,23,0,0,0,24,0,0,0,0,6715,0,1,1,0,1
1934931,0,0,0,1,1,0,0,1,5,4,0,0,0,270,0,0,0,0,5915,1,2,2,1,1
2510536,0,1,0,2,2,0,0,0,28,18,0,0,0,0,0,0,0,0,0,0,2,2,0,0
148497,0,0,0,1,1,0,0,1,24,23,0,0,0,24,0,0,0,0,1586,5,2,2,0,2
2510539,0,0,0,1,1,0,0,0,24,23,0,0,0,24,0,0,0,0,6715,0,1,1,3,1
2510538,0,0,0,1,1,0,0,0,24,23,0,0,0,24,0,0,0,0,6715,0,1,1,0,1
2669804,0,0,0,1,1,0,0,0,4,3,0,0,0,4,0,0,0,0,1122,1,1,1,6,3
6334650,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1925,2,26,9,1,0
2229040,0,0,0,1,1,0,0,1,12,11,0,0,0,12,0,0,0,0,0,1,2,2,0,0
2510634,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6715,0,2,2,0,1
34946977,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3486,0,3,3,0,0
395752,0,0,0,1,1,0,0,1,88,87,0,0,0,88,0,0,0,0,281,5,3,3,14,3
2669830,0,0,0,1,1,0,0,0,7,6,0,0,0,7,0,0,0,0,5361,0,1,1,0,1
2229048,0,0,0,0,0,0,0,3,0,0,0,0,2,4,0,0,0,0,437,11,1,1,0,18
2510626,0,0,0,2,2,0,0,0,52,45,1,1,1,46,0,0,0,0,0,0,2,2,2,1
2669828,0,0,0,1,1,0,0,0,7,6,0,0,0,5,0,0,0,0,3053,0,1,1,1,1
2510628,0,0,0,0,0,0,0,0,0,0,0,0,0,152,0,0,0,0,1925,0,1,1,2,1
148963,0,0,0,1,1,0,0,29,51,50,1,1,1,51,0,0,0,0,9797,118,18,8,4,111
2510649,0,0,0,3,3,0,0,0,88,79,0,0,0,80,0,0,0,0,6715,0,3,3,2,2
25581,0,0,0,1,1,0,0,3,142,141,0,0,0,142,0,0,0,0,0,26,3,2,41,79
395774,0,0,0,3,3,0,0,1,8,5,0,0,0,6,0,0,0,0,0,1,3,3,7,0
2669851,0,0,0,1,1,0,0,0,4,3,0,0,0,4,0,0,0,0,5915,0,1,1,2,1
25577,0,1,0,1,1,0,0,12,379,378,13,13,0,0,0,0,0,0,0,28,2,1,10,0
1690556,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,9797,80,10,6,14,109
2510654,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,7148,0,1,1,1,1
24005268,0,1,0,1,1,0,0,0,5272,5271,0,0,0,0,0,0,0,0,1925,0,1,1,0,0
2229032,0,0,0,1,1,0,0,1,250,249,0,0,0,250,0,0,0,0,1586,1,1,1,1,3
17177058,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6715,0,10,2,2,0
2229034,0,0,0,1,1,0,0,0,25,24,0,0,0,25,0,0,0,0,0,1,1,1,12,0
4255332,0,0,0,0,0,0,0,0,0,0,0,0,2,39,0,0,0,0,5915,27,1,1,12,31
25571,0,0,0,1,1,0,0,1,78,77,1,1,1,78,0,0,0,0,5915,2,1,1,1,2
2229036,0,0,0,1,1,0,0,1,60,59,0,0,0,60,0,0,0,0,0,1,1,1,3,0
4188000,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3486,2,2,2,1,3
2669840,0,0,0,1,1,0,0,0,5,4,0,0,0,5,0,0,0,0,0,0,1,1,0,1
8350425,0,0,0,0,0,0,0,0,0,0,0,0,2,31,0,0,0,0,3486,0,1,1,2,1
2510602,0,0,0,1,1,0,0,0,143,142,0,0,0,143,0,0,0,0,1122,0,1,1,4,1
2510600,0,0,0,2,3,2,0,0,84,63,3,3,3,64,0,0,0,0,1586,0,2,2,24,4
2510606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
2229014,0,1,0,5,5,0,0,0,526,275,0,0,0,0,0,0,0,0,6715,4,17,15,2,6
2510604,0,1,0,1,1,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,1,1,2,0
25556,0,0,0,0,0,0,0,1,0,0,0,0,7,48,0,0,0,0,0,2,3,3,11,3
2229018,0,0,0,0,0,0,0,1,0,0,0,0,1,4,0,0,0,0,3486,1,2,2,2,2
2510595,0,0,0,2,2,0,1,0,8,6,0,0,0,7,1,0,1,2,6715,1,2,2,1,2
2669863,0,0,0,1,1,0,0,0,321,320,0,0,0,321,0,0,0,0,1925,0,1,1,2,1
2510598,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,5361,0,1,1,0,1
2510599,0,1,0,1,1,0,0,0,46,45,4,4,0,0,0,0,0,0,3486,1,1,1,14,1
2669857,0,0,0,1,1,0,0,0,2,1,0,0,0,2,0,0,0,0,7148,0,1,1,3,1
2510619,0,0,0,1,1,0,0,0,4,3,0,0,0,4,0,0,0,0,9797,0,1,1,8,1
2669884,0,1,0,4,4,0,0,0,242,119,2,2,0,0,0,0,0,0,9797,0,6,6,0,3
2510616,0,1,0,1,1,0,0,0,817,816,303,303,0,0,0,0,0,0,5915,0,1,1,4,0
34946965,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3486,0,3,2,1,0
25544,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,1,1,0,2
2510622,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,63,0,3,3,0,1
2510621,0,0,0,1,1,0,0,0,13,12,0,0,0,13,0,0,0,0,7148,0,1,1,4,0
395728,0,0,0,1,1,0,3,1,327,326,53,53,53,327,1,0,3,13,9797,1,1,1,1,1
2229003,0,0,0,1,1,0,0,2,13,12,0,0,0,13,0,0,0,0,0,2,2,2,1,0
2510608,0,1,0,1,1,0,0,0,13,12,0,0,0,0,0,0,0,0,0,0,1,1,1,1
2510615,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1925,0,1,1,0,1
2510613,0,1,0,1,1,0,0,0,3,2,0,0,0,1,0,0,0,0,479,0,1,1,9,1
712069,0,0,0,1,1,0,0,0,1087,1086,7,7,7,1087,0,0,0,0,0,0,1,1,0,0
25530,1,0,0,1,3,2,0,13,90,89,9,9,9,90,0,0,0,0,5915,71,27,12,21,67
2510700,0,1,0,1,1,0,0,0,12,11,0,0,0,0,0,0,0,0,9797,3,1,1,0,6
2510701,0,0,0,1,1,0,0,0,36,35,0,0,0,36,0,0,0,0,26,0,1,1,6,1
2229105,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,1925,1,1,1,0,3
34947043,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3486,0,1,1,0,0
